,Quat_W_LF,Quat_X_LF,Quat_Y_LF,Quat_Z_LF,dq_W_LF,dq_X_LF,dq_Y_LF,dq_Z_LF,dv[1]_LF,dv[2]_LF,dv[3]_LF,Mag_X_LF,Mag_Y_LF,Mag_Z_LF,Quat_W_LW,Quat_X_LW,Quat_Y_LW,Quat_Z_LW,dq_W_LW,dq_X_LW,dq_Y_LW,dq_Z_LW,dv[1]_LW,dv[2]_LW,dv[3]_LW,Mag_X_LW,Mag_Y_LW,Mag_Z_LW,Quat_W_ST,Quat_X_ST,Quat_Y_ST,Quat_Z_ST,dq_W_ST,dq_X_ST,dq_Y_ST,dq_Z_ST,dv[1]_ST,dv[2]_ST,dv[3]_ST,Mag_X_ST,Mag_Y_ST,Mag_Z_ST,Quat_W_RW,Quat_X_RW,Quat_Y_RW,Quat_Z_RW,dq_W_RW,dq_X_RW,dq_Y_RW,dq_Z_RW,dv[1]_RW,dv[2]_RW,dv[3]_RW,Mag_X_RW,Mag_Y_RW,Mag_Z_RW,Quat_W_RF,Quat_X_RF,Quat_Y_RF,Quat_Z_RF,dq_W_RF,dq_X_RF,dq_Y_RF,dq_Z_RF,dv[1]_RF,dv[2]_RF,dv[3]_RF,Mag_X_RF,Mag_Y_RF,Mag_Z_RF
Quat_W_LF,1.0,-0.003246681869359736,-0.9200744685091911,0.007314152625349222,0.0016463290302689629,-0.002984785925045151,-0.002560854540112197,-0.0012270296597142883,-0.02681048981494783,0.018290580845839656,-0.019330443118110132,0.010600342318638496,0.03707896285178856,-0.000635392571744261,-0.011379293685793535,0.07507909224659495,0.012228835861342612,0.03732181047145813,-0.000811168123234518,-0.0019816240802941363,0.005463193318339241,0.002751625907663345,-0.0019661531095693475,0.0031245690793684387,-0.009619501890921733,-0.01843064903221832,-0.010716286244750104,0.009474585983310743,0.09629004388301121,-0.11600384369127364,-0.1296574444743138,-0.1537599210754038,-0.006317354427929181,0.0036069345889438355,0.006123558019732626,0.005318227773350179,-0.007263286375037836,-0.008030951651427642,0.014245678743859038,0.022182837434088075,0.015429880045169552,-0.051551322111378306,0.042036533041097876,0.0006274490879958548,0.0937302740152578,0.03509080144697187,-0.0009032718674370848,0.012625260945316115,0.0030775593055660222,0.0019813961804216224,-0.020655617373811604,0.012296759538884636,-0.007823629251178498,0.0016005770978319274,-0.0006066724511836846,0.014904158604324529,0.029631686825587474,0.025185239214762116,-0.03125623748045245,0.016847522480683157,-0.007435801195305313,0.001670466707818296,0.0013193443719169585,0.005417808646941536,0.006675389599056226,-0.015719589709893556,-0.029164472230621342,0.028817445337303915,-0.005186149011054369,-0.005501802399016603
Quat_X_LF,-0.003246681869359736,1.0,-0.010271109853661734,0.9277361731051278,0.007801029129788756,0.004511944531935797,0.0017697956528120653,0.0019390761169995802,0.008113938764845648,0.0024243009908569515,-0.0025644225220972676,-0.0026050339671831067,-0.016550214033796678,-0.022107898180354305,0.034787981028082,-0.08388175403894609,0.038690164396816024,-0.0019313162165840625,-0.0016050811876486772,0.002368024903205695,0.009187828130757452,-0.007409684907326696,0.0024020101144658704,0.0009955966975378739,-0.019476786080251697,-0.025154816905895862,0.003722768121071827,0.01029659173483407,0.02025381545739482,0.010777885676261225,0.02721865144112099,-0.03848222177075734,0.004888464450500808,-0.003020385431433756,0.0040161755406307766,0.004153398935805624,0.0005683015431543274,0.034001530839929635,-0.040218557540248216,0.020708726250395954,-0.06333826262414013,-0.013145844665643051,-0.08327811899798765,-0.0969502328945745,0.04638484614465497,0.052210842520139286,0.0005838885228368078,0.006050544471761996,-0.004143312853358212,-0.003283723549717889,0.006628686251990088,-0.028682352951592934,-0.008878724618847858,-0.01309790181774292,0.018460761116775255,-0.010635784943315062,-0.03477915915705201,0.0066095094086382955,0.031549922978536364,0.006207650907924583,0.008423488485547448,-0.007619088480037832,0.0038323646816232136,0.0008550388075669811,0.00110466097408899,-0.00014876488128515947,0.05592240019160101,-0.00680571782324588,0.0024001369327258434,0.005718561142510141
Quat_Y_LF,-0.9200744685091911,-0.010271109853661734,1.0,-0.028507503016713766,-0.0032082885468957016,0.0015676210810549717,0.0017413382650294778,0.00030646965880139736,-0.03597730859248324,-0.015221248966255797,0.015504604436899308,0.016540943441918463,-0.04547095216500599,-0.012549077773340665,-0.026015054392687295,-0.053597410977720195,-0.022561473152245586,-0.01900848127524504,0.0008899499134888984,0.0018651406663895292,-0.004325469290004688,-0.0039029809721561224,6.27036184210459e-05,-0.010119937024007746,0.00980732456758212,0.014275238822537336,0.015561868282603378,-0.008498847230405442,-0.07251365488727109,0.09208615580353491,0.09420193670942471,0.14004171417428182,0.0038019778395081316,-0.0031806793647136105,-0.004868525124788847,-0.006706021475743448,0.010473884431214784,0.007705304130234614,-0.01948837650326625,-0.01856622450049478,-0.02056969100507162,0.052619161051633105,-0.020919383350002676,-0.016872721320497136,-0.1346774990160786,-0.011801980238862737,0.0008167765797171192,-0.012449805417420332,-0.004757353024157847,-0.0009175638013001798,0.009564422498493784,-0.03463873118931645,0.005724269146972549,0.009044631332591056,0.022654450011091187,-0.01310676646528625,-0.042407633055416866,-0.06293901300457636,0.04058689867884938,-0.06078788501383299,0.004774723414366,-0.002658396937259694,-0.0013861744337229037,-0.004425920449327491,-0.0030863389846193003,0.015512409815428918,0.043574589951910714,-0.027340230847057553,0.0019095196278664395,0.003471703143015181
Quat_Z_LF,0.007314152625349222,0.9277361731051278,-0.028507503016713766,1.0,0.007190067833993527,0.0033985573531920515,0.0017190963021530333,-0.0007444617862038897,-0.0021983719674665684,0.02432065027426064,0.014853702456632664,0.0021178200108174167,-0.03406569641583714,-0.03320291807043778,0.03398415277599743,-0.07366141764350954,0.06111397981849217,-0.03317545955183076,-0.0020485612619900646,0.003511721702286067,0.00966266264837555,-0.009483870284105004,-0.003278611509033616,0.00577362654632896,-0.023000519045591566,-0.011075512376506223,-0.00018880647421050398,0.010731704977525581,0.014851932431597421,0.04642208200952301,0.022335752088555285,-0.015420678354119829,0.004974302349761687,-0.004534127221629237,0.004849278126861482,0.0017151007112174471,0.005663340238213912,0.03435385301275959,-0.030458337306603116,0.020130761134488216,-0.05950987596538835,-0.014650089498604656,-0.10678858793681419,-0.050451855479497716,0.04343076504099621,0.05499952415311901,0.0012887895744108154,0.006187768415632905,-0.003156980224234707,-0.003190777813363374,0.0020978909080849152,-0.04630613830658415,-0.010585437918980489,-0.010000420680530068,0.035534749671764586,-0.004321446404235493,0.0008233092578112781,0.004827829346273552,0.0012725101108848013,-0.002247715823674196,0.007341574956540077,-0.006584461970083091,0.0050537120514281405,-0.0012047339579343101,0.0014609888977641962,-0.00922857876367313,0.06230759211366932,-0.015392663872652465,0.020308025318177606,-0.003921622957934694
dq_W_LF,0.0016463290302689629,0.007801029129788756,-0.0032082885468957016,0.007190067833993527,1.0,0.06357881603574181,0.10001602820838328,0.3668827004072359,-0.19711562077778905,0.10146384317400918,-0.030096844815990474,-0.0038562370291221823,-0.07435325721086997,-0.0016377627667439898,0.002541353630883346,-0.005905455072093055,-0.004932129559199788,-0.0022491075087263347,0.01838700302459404,-0.023375480849723847,0.03263366483128031,0.0320585375144105,-0.005438193068110646,0.011196975868601517,-0.007949796647563154,0.0017415353155795443,-0.008346214652225178,0.02065249335174901,-0.009633812802922503,0.00803710495883727,0.011835014805187435,0.009134510112396264,0.14205084646545452,0.11472271073321501,-0.0248082822860281,0.016088229253965768,-0.010805085440408068,-0.04203115372551648,0.04069206185528321,0.04934070273029371,-0.009806117038205608,-0.019102412375623812,-0.0016758079751697636,0.004132980131222132,0.014631543438856235,0.015768281562794344,0.0007901454313342462,-0.003974940764726331,-0.017897688355390472,0.038916278296502085,-0.0260833922767392,-0.008829581651695353,-0.07094555071507376,0.00223632013768838,-0.0024189982335000642,0.03297562961886313,0.006296193984595627,0.002869809613755708,-0.004353331479619649,0.0011460348914087107,0.08468005432237533,-0.0063279195240574454,-0.010018844990697277,0.21823908015805146,-0.13065538238187827,-0.006790129447707384,0.04075365062436506,0.03558649045673552,0.011434303995712944,-0.010941078690635528
dq_X_LF,-0.002984785925045151,0.004511944531935797,0.0015676210810549717,0.0033985573531920515,0.06357881603574181,1.0,-0.0069440686588302025,0.109240817316737,-0.01201777906046469,0.04061230141033724,0.08232698698787039,0.009548691212438296,0.015744749216409344,-0.0007430142959888599,-0.0045932454744163275,-0.0013215649148466953,0.0008003820033018152,-0.007239885152687561,-0.007791534522577628,0.04637271360977264,-0.16488559127851576,-0.03280589443169219,0.011445955357920722,0.010007559014422447,0.0005397945618373636,-0.0049161347025812605,-0.015191746131254001,0.0027906408404321545,0.0007526718817341689,-0.00048628745403307575,-0.0046478632816081295,-0.003567813340310074,0.0073045047787555235,0.4529277375750514,0.03739801355098777,0.3557942837188729,0.0002650750560069643,0.014098806132915311,-0.006625635760737031,-0.0027134111174713584,0.004660069288595903,0.006353303779361457,-0.002619901667602499,0.0035593073470938704,0.0033613267778937455,-0.0014681535960664588,-0.01237081598047348,0.03184801710803944,0.13559634563569886,-0.03461367034028543,0.007319645853446464,0.008212515530216038,-0.004813680174942614,0.0029071886452991694,0.0020530197134783945,0.017468265914401312,0.008580946687689831,0.012258727370984926,-0.00898699069255481,0.010388472080480654,-0.021017988428510156,0.16778820117886162,-0.05893731277852281,0.047624306135298514,-0.0028520967766723403,0.03789777223255381,0.0256334164153296,0.004013881859730162,0.021975820117133286,-0.0031243958483586935
dq_Y_LF,-0.002560854540112197,0.0017697956528120653,0.0017413382650294778,0.0017190963021530333,0.10001602820838328,-0.0069440686588302025,1.0,0.21769748890724788,-0.013496488675398408,0.06814425400492469,-0.0022707492598974402,0.010238273479922393,0.017243889032251134,-0.014886316957821437,0.0005324056601668153,0.0027987120000957533,0.004382928195467936,-0.003658271627145203,-0.00020459412250742272,-0.005898986645982583,0.008737637980439888,-0.003967090684879877,-0.0005023975012747638,-0.0028666571715562543,0.002295628082964921,0.005986378613560569,0.005143622900321264,0.004174267486721451,-0.0007549516356252049,-0.0033917238071621593,0.0006147455479525757,-0.0026830527935246674,0.0002735063559125521,-0.018842890297665997,-0.06319514507363279,0.023383346858946514,0.004213089212001132,0.007887917725149251,0.018573091098085536,0.006712483527966224,-0.008077630798981729,0.0016650969565907845,-0.005092690838326474,-0.00244935112419189,0.006905118238146035,0.0011839808365332139,-0.0022912695492510807,-0.0028337586748859206,-0.02371635985479441,0.00026164737339688047,-0.006862361522176258,0.004986703241240423,-0.014060814573715667,-0.006284083125479082,0.002149248312868908,-0.0032740555661196365,0.0005002556431027633,0.000397903425745054,-0.0005621610819517954,0.0006387164280077238,0.009096540165465291,0.03783229777319361,-0.12556434238236105,0.05757574132933246,-0.004349877737259008,0.01891442600153104,0.027959338410219924,0.007186517114179501,0.043658587504003504,0.011485375490971617
dq_Z_LF,-0.0012270296597142883,0.0019390761169995802,0.00030646965880139736,-0.0007444617862038897,0.3668827004072359,0.109240817316737,0.21769748890724788,1.0,0.004397044187265944,0.12211887919218609,-0.02135008376358943,0.01317087397521449,0.003073604519050047,0.01265533933522341,-0.005424531833779175,0.0025821034421915326,0.008124633915540073,-0.003606040650695857,-0.001473352267573502,-0.010459176689421314,-0.003805186208262576,-0.002537116606690227,0.01210092394952352,-0.009572721981167678,0.01056861377212419,0.010460267945154117,0.0013072052703547378,0.006752068436753706,0.001792156319720224,-0.0062960665880713645,0.0015175370730661673,-0.0046925286575359845,-0.013226445393476673,0.16839402674303966,-0.16367149658869024,0.13425580649580376,0.0210278361575362,-0.001622253610900963,0.04433237939011194,0.0030584979577859685,-0.006409837618424676,0.0023060010580261497,-0.0013499749613194894,-0.0027193553781975958,0.004598925247379044,-0.001985813318968574,-0.0006334512792042998,-0.0006359436686026645,0.001976291083975906,0.04551277117763422,-0.008445823994051338,0.014685116134013512,-0.013937752261527863,0.0033657390253135334,0.006415894876333526,0.009798304594792603,0.002837577482844948,0.003262876161161242,-0.002588820528623053,0.0010973401175917675,-0.19396520572067785,0.06170960898274593,-0.06047596630714383,0.028564134420792742,0.13644695140255828,0.04074674907248715,0.08278853111748757,0.029137324552058537,0.0035807344235507903,-0.017000423314980556
dv[1]_LF,-0.02681048981494783,0.008113938764845648,-0.03597730859248324,-0.0021983719674665684,-0.19711562077778905,-0.01201777906046469,-0.013496488675398408,0.004397044187265944,1.0,0.02171545699765805,0.031150081187935132,-0.4083195013561234,-0.07450054096543424,0.01937130672060208,0.038692201515433566,-0.03728274991707318,-0.023197097824866852,0.012035168794932462,-0.01325282567297512,0.008285183620241676,-0.00482729940013684,-0.002457134854332951,0.04296863089437994,0.0442374413397159,-0.045975649159857926,-0.050226860167243224,-0.01296300745638147,-0.008891614134570047,-0.04671625117046351,0.023603798732074046,0.052922268640375726,0.012824335621469948,-0.03105479880371436,-0.016928677845843093,-0.021531444574463772,0.04433914782636526,-0.013009066676282172,0.01796303951516644,0.07356451227730773,-0.12250970050632255,-0.01517296634237056,-0.07209642385245243,0.005795279352475329,-0.0004763006976090815,0.042770006369425254,-0.027845460887351885,-0.0030065311144060304,-0.0054894037028546255,-0.0016315530736654776,-0.003182215490767086,0.09702960493258152,0.2267937152154507,0.005075991759976871,-0.08138758506861539,-0.2429833380011856,-0.005141794339249367,-0.01697277433897929,0.016386391978801904,0.004357340318861068,0.013776448128681656,-0.05652522248089104,0.017347766193811443,0.02543131287027372,-0.07786633542107667,0.12048464467984102,-0.03298029526334259,-0.02693185395402567,-0.08288322477115109,0.010689424866350035,0.07249486120919768
dv[2]_LF,0.018290580845839656,0.0024243009908569515,-0.015221248966255797,0.02432065027426064,0.10146384317400918,0.04061230141033724,0.06814425400492469,0.12211887919218609,0.02171545699765805,1.0,-0.07584122316865696,-0.1009315611160686,-0.20974102575284434,-0.008637642520688103,-0.01089085693373033,0.0081153432723122,0.02251407282069292,-0.022838901524355096,-0.012277607947743314,-0.005715482050469545,-0.001875842746671257,-0.005394236186536721,0.011944746916915324,0.011096799904234013,0.006142040881518063,0.001490338372316234,0.01991294395492179,-0.028548938032585108,0.0034916784428976255,0.023282914921573854,-0.0033752219829231004,0.0159787150124554,0.004670118113841439,0.04682019080719827,-0.04134602733743868,0.02145216239108477,0.018672189430482627,0.015698939784081056,0.10925489056443685,-0.03356867292100294,-0.003998036017191099,-0.09264685678422853,0.006068418894273667,0.0030455495223917347,0.005520104808732261,0.029660306964443686,-0.012642493184435753,0.00565198819844959,0.016230141089727,-0.0009966242694099867,0.001193029337392486,-0.04643072260071295,0.004267590062800371,0.0010133299000380288,0.046240816953213804,-0.002513389080030915,0.02914776827214525,0.024751362596316797,-0.03249135367056624,0.01446171602766217,-0.0006917943608409096,0.03785660225064786,-0.034458115746753754,0.038134836591451976,0.015391451753395517,-0.1388129500357397,0.04096466777465266,-0.10966839184893129,0.138185896890221,-0.026884885430530265
