,Quat_W_LF,Quat_X_LF,Quat_Y_LF,Quat_Z_LF,dq_W_LF,dq_X_LF,dq_Y_LF,dq_Z_LF,dv[1]_LF,dv[2]_LF,dv[3]_LF,Mag_X_LF,Mag_Y_LF,Mag_Z_LF,Quat_W_LW,Quat_X_LW,Quat_Y_LW,Quat_Z_LW,dq_W_LW,dq_X_LW,dq_Y_LW,dq_Z_LW,dv[1]_LW,dv[2]_LW,dv[3]_LW,Mag_X_LW,Mag_Y_LW,Mag_Z_LW,Quat_W_ST,Quat_X_ST,Quat_Y_ST,Quat_Z_ST,dq_W_ST,dq_X_ST,dq_Y_ST,dq_Z_ST,dv[1]_ST,dv[2]_ST,dv[3]_ST,Mag_X_ST,Mag_Y_ST,Mag_Z_ST,Quat_W_RW,Quat_X_RW,Quat_Y_RW,Quat_Z_RW,dq_W_RW,dq_X_RW,dq_Y_RW,dq_Z_RW,dv[1]_RW,dv[2]_RW,dv[3]_RW,Mag_X_RW,Mag_Y_RW,Mag_Z_RW,Quat_W_RF,Quat_X_RF,Quat_Y_RF,Quat_Z_RF,dq_W_RF,dq_X_RF,dq_Y_RF,dq_Z_RF,dv[1]_RF,dv[2]_RF,dv[3]_RF,Mag_X_RF,Mag_Y_RF,Mag_Z_RF
Quat_W_LF,,0.07187530526898481,-0.9673691386246036,0.08905081962745269,0.04123506707638654,-0.0036464152696278557,-0.0026873946646256935,-0.0023734809821106266,-0.015765831586313762,0.011376747916361373,-0.049321310534158745,-0.04490615132355859,-0.051201601076883596,0.030566826372138246,-0.07358775506438976,0.06958618758336682,-0.1942897056447506,0.23241067853539582,0.026271234554702885,0.001905724750678391,0.006594658660578979,0.001803291861237837,-0.06006468873633237,-0.024862965264141577,-0.058498185717417786,0.0816925257695554,-0.009946868283893075,0.05750188352373141,-0.12610989877321802,0.012442553636994145,0.10273259386345819,-0.08243098639583145,0.029795382214308365,-0.00542259342735389,0.002950573155161921,-0.0003398700798707279,-0.008572951237068903,-0.16591596979378875,-0.06052164410430961,-0.037729509696527476,0.09777490349574522,0.039972318135876546,0.06790618050501007,-0.06930359311910834,0.07421515050728028,0.11208379549392189,0.04561096559098697,0.003021992947939688,0.0013132121645480054,0.0020562734048196678,-0.10470704064521796,-0.003305133771130539,-0.007036711876459501,0.045499742754105364,0.05004752010951368,0.0232912297346764,0.16616301295917707,0.15204136790282038,-0.148954982891894,0.16493631414007118,0.035941800057295185,-0.003488853924090176,0.01243336456543112,0.004485187585515365,-0.0553700859811152,0.035351422277317524,-0.08986192977291979,0.0372889556783611,0.029197507893181308,0.05460274002401381
Quat_X_LF,0.07187530526898481,,-0.08227544345281254,0.9647597542397437,-0.0084968528418561,-0.0034720361791093115,-0.0048319303240880835,-0.0008584497587111375,0.017776006183607588,0.058889517443388516,0.00993714610920174,-0.129276023287332,-0.019098741176061196,-0.09305767865290408,-0.07083293319580393,0.09514844050998411,0.19347326291633318,-0.12291517554922853,-0.0022235407568475143,-0.0011225363210655142,0.0029367629112584757,-0.000995268916184566,0.04144321552723089,0.04972459761040212,-0.006490277154402558,-0.07945419612586305,0.0022722135364298423,-0.05440874788134018,-0.07023093487188513,0.11215160795043012,0.04995583184665578,0.05405679217405431,0.013217270199382732,-0.0013767039163029731,-0.005419551382394501,0.010281336028813691,0.07908550494270218,-0.07358431537625225,-0.07047376051759602,-0.15851859214649128,-0.06510869915984957,-0.016799078021703984,0.03230899552203873,0.09771282975893797,-0.26461820406329273,-0.1188187380108564,-0.0004909423227416666,0.0018156282995335196,-0.0007067858253746253,0.0031412822180927236,0.030499515959786682,-0.08045339270152156,0.00144822309518056,-0.05107435914250421,0.061705001610808774,-0.053657086915175935,-0.027535381054338285,-0.06300940719609276,0.029545357043726597,-0.04355919090143897,-0.0026984998328332694,0.0050868117046530435,-0.006898450684114732,-9.170225511242e-05,0.015453681920854749,0.04774808226176332,0.12200585281653295,-0.058593081857732675,0.004062057518602402,-0.013759967404369898
Quat_Y_LF,-0.9673691386246036,-0.08227544345281254,,-0.10726726121240537,-0.04287547007400249,0.0031553095754100788,0.0024497825661178394,0.002438113182147006,0.015136829297723756,-0.017125606858027956,0.07113416462920291,0.028494866141315685,0.07606721737030639,-0.068518150344595,0.104976118178295,-0.0977159824097586,0.17540579998856537,-0.2151137137241163,-0.027455619358369363,-0.0004951898303242094,-0.006040072103934564,-0.002317312633968637,0.06283476249341385,0.029381711427735907,0.05830704546365468,-0.1008511262162121,0.020006161346820553,-0.06323065619469213,0.09471368110211366,-0.014726541435860274,-0.07450808320623946,0.07928232815151708,-0.0307706829451484,0.006318445193586556,-0.004305351532318312,0.001801107862060509,0.036193092948445214,0.15665835630529265,0.035052100219919814,-0.0016264954156095717,-0.09892253233407058,-0.04215836999179734,-0.07736116796470355,0.06832767135231645,-0.061683627838268425,-0.10551431911785482,-0.04379676990500439,-0.0034185603782782717,-0.0008946818333336604,-0.0027993745133853463,0.11127987268470599,0.012259025181233951,0.005568406725442263,-0.053972480088286166,-0.060623023956573964,-0.030162324947675474,-0.16549213812158023,-0.15237057941669135,0.14551390098017394,-0.1609567739003734,-0.03943122410736212,0.0028488377240325803,-0.010853173881929225,-0.0058359841307879775,0.06860435513263298,-0.028309993739589735,0.09895868197240193,-0.05081693860274652,-0.04671163598716445,-0.07062176471793238
Quat_Z_LF,0.08905081962745269,0.9647597542397437,-0.10726726121240537,,-0.006879693112067023,-0.00525289746467707,-0.006502338408313873,-0.0026038125150494315,0.009051911268780946,0.03728513213628338,-0.0010285318217096548,-0.12523737614704983,-0.02755199906837112,-0.08422146678306075,-0.07272968475810235,0.10062734373102666,0.15185767942968334,-0.08155122900422349,0.003360936971676101,-0.00047413455701088785,0.003198716824200095,0.0005335983052283667,0.033087260723348826,0.04890368038859654,-0.020543275100936315,-0.07154471372450665,0.004858528012243393,-0.054095675317989936,-0.08271567966610333,0.1132908459592224,0.06427928660859371,0.03428327399237536,0.01454779133750087,-0.0005864716936835299,-0.0017563421317982732,0.006928576924860865,0.07388489461901161,-0.06752494903896296,-0.08442410028225028,-0.15684031055350328,-0.0585456385033855,-0.015687693512167897,0.029201051005726477,0.11054190612302967,-0.24767785903271705,-0.1253763824148431,0.001263675846262501,0.00017906421303487174,-0.0005673180741182862,0.003558022837128948,0.01619596925727506,-0.06543812440467844,-0.0048922859307015485,-0.03422011684454173,0.04369655424368836,-0.058728543894859604,0.004150364429606448,-0.04138082894260141,0.007708517738339491,-0.022006945129603366,-0.0018270008647142198,0.004719005634926806,-0.004212485635288527,0.0005908848477769713,0.00435300705849625,0.06432672773574638,0.12168533789014395,-0.0663371013043358,0.004653202218304886,-0.014523296744366984
dq_W_LF,0.04123506707638654,-0.0084968528418561,-0.04287547007400249,-0.006879693112067023,,0.011385776046429041,0.06158881216781282,0.2782828721519519,-0.39502983913955225,0.061061563978576865,-0.023614096406704418,-0.0036557940206479876,-0.06406062041514586,0.034718861328059736,-0.002261429944818176,-0.007887066604750971,-0.01730826123456645,0.017803616598880384,0.022394522419874753,-0.020612098287021086,0.027967536335483663,0.041780609670819736,0.0019457704875237116,0.008919436469393112,0.007637329386141238,0.0329975034264374,-0.007816979166821605,2.460520279329814e-05,0.005127069777051522,-0.00363624511442681,0.011552664265045717,0.00851578128426293,0.16460063276457704,0.0732825704725875,0.021948750896257162,-0.02270563539237621,-0.04340540090138048,-0.06421638349619067,0.0562166973041585,0.06251873793316923,0.03185650051296288,-0.008616222134282474,0.04668354570514471,0.02361732402037688,0.04051694908989224,0.04147335922965052,-0.00354967777606807,-0.004676468296039746,-0.007351676117479027,0.03318640559800181,-0.022713996519844754,0.011785805239081001,-0.04073345351659561,-0.026898088403302222,0.000855626866659206,0.044349926122819405,0.007638867971780062,0.02884152873381401,-0.013552908174454552,0.017348086631740027,0.08289119846774155,-0.011017849664553922,-0.009918350578273094,0.20997333847888458,-0.14004982943713726,-0.0246586615092964,0.03200189040566527,0.040380125668763076,0.05542012198963985,-0.06041934859010654
dq_X_LF,-0.0036464152696278557,-0.0034720361791093115,0.0031553095754100788,-0.00525289746467707,0.011385776046429041,,-0.03100676024476168,0.0636659938942745,-0.015112667560104901,0.043085313013159224,0.08535075451482345,-0.002660067127774147,0.003085212626242037,-0.009663408250133544,0.002754888204460931,0.004386223513758662,0.006241372929591323,-0.00010992990742156597,-0.011927023523991644,0.04186820844066654,-0.1634681416142111,-0.0299370733599819,0.01809964217982555,-0.0008949601036860467,-0.008085825639756607,-0.015445412821725811,0.005183573176513374,0.01431501740031824,0.0013186771803922978,0.001309803919812773,-0.003271716744413486,-0.0008926113697730726,-0.00858745254785626,0.47335105122350796,0.09650948428805932,0.3686705552423292,0.006993165325606658,0.013943144298992466,-0.005419651736127595,-0.016047649905543263,0.005114812282662416,0.008769348829840096,-0.0005397100667879683,0.0032693702994850116,0.005150927134780799,0.0035412181196666274,-0.007064697312508343,0.03003721954307089,0.10955904380529634,-0.025581855918914837,0.014834291138715426,-0.010342716508304895,-0.006201076985523706,0.01084414419893244,0.0036537200954983562,0.003570173402132206,-0.00039665754269533373,0.0010754371087229736,0.0019065886052501042,0.0010969382220800733,-0.014774396832978378,0.16578882107356305,-0.05133005481311193,0.046616300368513594,-0.00483672056849805,0.0337920082989421,0.017274390412767564,0.0038218254053656153,0.025808638217325538,-0.007321789174358364
dq_Y_LF,-0.0026873946646256935,-0.0048319303240880835,0.0024497825661178394,-0.006502338408313873,0.06158881216781282,-0.03100676024476168,,0.17066641644884833,-0.00955945902146855,0.049430699916515705,-0.001424030782995112,0.010162875930745174,0.016196199078722898,-0.004694609909708584,0.0009947360859040907,-0.000615459185955716,-0.00580127540142803,-0.00011018246305240738,-0.0009153307648955353,-0.007607192486445193,0.015485970468797012,-0.011139526048275474,0.011050684876874687,0.00808338095753234,0.0013761598604336693,0.003467731194082574,-0.00010058571596382341,0.011166658484278199,0.0005681265043704026,0.0018271549313743202,0.0037660797659553893,0.0053119809489555955,0.004959110871125579,-0.037498996634328645,-0.023324797435058393,0.022606257281629644,0.0009126570044380199,0.024293170080613703,0.008612422807445935,0.010203954701493613,-0.006327101066228879,0.004630612746181677,0.0023192211300403233,0.003702630406504031,0.008371717039413916,0.009767994775406512,-9.393697861479286e-05,-0.00012308519845686966,-0.01771481482548527,0.003154347305227978,0.0025057217268013637,-0.003566410813828853,-0.01225916090266937,-0.0021331082298401897,0.0047903891783041,0.0018198247285692206,0.009395413661834821,-0.0016239505107144977,-0.008482233936563312,-5.5695662366123045e-05,0.02677707292729575,0.02285770250188442,-0.1031421587854421,0.05507491736833254,-0.01118470554241898,0.018123927012329982,0.02294514082304967,0.004011868235933744,0.05235325665031135,0.006202569704353805
dq_Z_LF,-0.0023734809821106266,-0.0008584497587111375,0.002438113182147006,-0.0026038125150494315,0.2782828721519519,0.0636659938942745,0.17066641644884833,,0.07545084702876421,0.09469016241433394,-0.0304612241763564,-0.0017149197990708692,0.009107619090322792,0.009563234926097664,-0.0011687193900082437,0.0020967770775378648,0.007482702545312969,-0.003724296533393501,-0.001281989405963477,-0.008553792078877426,0.0005619405787476683,-0.004530199465773595,0.01335955754817387,-0.01071571626993305,0.008181534167752566,0.0026288356648936553,0.011349758669016507,-0.001844971305250529,0.006327829037194264,-0.0033079081084924746,-0.005168638416823254,-0.001637854316726209,-0.030145562025491512,0.12938008393917816,-0.13347787705324118,0.09697290342893536,0.03139972994413732,-0.011872459367216766,0.0637169473390783,0.0034597422205269175,-0.004491326516983223,-0.006809036978410651,-0.003963687297285112,-0.003881889195971731,0.0013404213318448065,-0.0022447483102571992,0.007029320743020895,-0.000996308764503973,0.00792311630210527,0.04213859786422202,0.001141518563863882,0.010071019732292769,-0.014056288601240323,-0.010060626284568282,0.0037029292125599525,-0.0007353317324404088,-0.0026734264930086777,0.0019338759856769448,0.0028802969710470714,0.002888264597856676,-0.1852030499707084,0.046081070405929854,-0.037104014808827426,-0.005025057718698511,0.13560862000166096,0.030935257632536704,0.05304976916818756,0.022182702276861116,0.0023402153886516123,-0.013142279284037623
dv[1]_LF,-0.015765831586313762,0.017776006183607588,0.015136829297723756,0.009051911268780946,-0.39502983913955225,-0.015112667560104901,-0.00955945902146855,0.07545084702876421,,-0.04678663606374582,-0.04969620230949862,-0.05914692816528166,-0.10812501546391046,0.0008930455026467454,-0.013921622345638226,0.029472712744270338,0.01164785051593243,0.004653477650303299,-0.002872713135254702,-0.0016935329163999323,0.010004161878324562,-0.004649405516880355,-0.014747932786343372,0.018957045719663078,0.017292846862106914,-0.005985066415547702,-0.018290841501823595,-0.012221689228711995,0.004886149668812758,-0.031296170818864884,-0.012233141009339499,-0.019210721081951966,-0.06556193345999703,-0.03963948050085557,-0.05841249521052183,0.06088296620660545,0.035008416427680995,-0.025584026059792864,0.07255567265097483,0.009273481415946156,-0.05698060254351473,-0.017990569431206756,-0.010562977793915473,-0.011336461961975,-0.005181409538734595,-0.004731020716344784,0.012381490344025003,-0.006074266751865064,-0.005001299767377428,-0.004154644778386689,0.011971682107222017,-0.024945269022339844,0.008653022587956147,0.0035622610675225537,0.020876543795086112,-0.016843619573189642,0.011754266022917287,-0.0138907274223263,-0.022106667446023135,-0.01140481857518924,-0.1465784596965372,0.02386308403213434,0.012597466289401789,-0.15948465588439914,0.221788306641806,-0.027646894362447064,0.05191489234802852,-0.054479348385759394,0.006933388689649769,0.04036773217910499
dv[2]_LF,0.011376747916361373,0.058889517443388516,-0.017125606858027956,0.03728513213628338,0.061061563978576865,0.043085313013159224,0.049430699916515705,0.09469016241433394,-0.04678663606374582,,-0.07582321439699885,-0.062065872155059376,-0.21222190668451169,-0.12915875091703133,-0.025873356665309807,0.021242012358960997,0.013775174284966194,0.011131101156013798,-0.012451360098786087,-0.00045373042894901645,-0.005471833588998422,-0.014400262832836817,0.06254981512104056,0.04629080712527294,-0.01029071445795959,-0.08677822319691418,-0.020503667106697494,0.006241250994827033,0.06023711842037844,-0.026424074173784604,-0.03433809201181696,0.019995946528359586,0.006430948209711066,0.03731931577216663,-0.022510674547473013,0.03186184070020132,-0.014788591782259143,0.12026339762969515,0.09531768299191573,0.012857826017259589,-0.07432163015126853,-0.14980595704223632,0.0189500561130947,-0.039595952181634295,0.007137783979461939,0.049024900946757786,-0.0022910022952474093,-0.0018302615163465759,0.006698459928768451,0.0061375135924391965,0.035287647469140336,-0.07792345809566924,0.024285007470670045,0.016516179345497636,0.04638049654243672,-0.0233605581432793,-0.026951189039985977,0.09856252842650041,0.013585276553035996,0.08828694106896082,-0.003154586988397269,0.03445066677909412,-0.030293995671493604,0.01858926914984072,0.013631190022638184,-0.17091242670897958,-0.032138714660311866,-0.13156934327497272,0.1148390809491783,-0.006365848595470108
